,usd_low,usd_high,usd_open,usd_open,usd_open,block_num,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks,number_of_actors,number_of_transactions,number_of_blocks
,min,max,median,mean,first,,total,total,total,min,min,min,max,max,max,mean,mean,mean,median,median,median
week,,,,,,,,,,,,,,,,,,,,,
2021-02-15/2021-02-21,1672.69,2035.95,1856.64,1870.94,1828.65,11896995.0,2488923.0,8348789.0,44626.0,483551.0,1136325.0,6341.0,563378.0,1262007.0,6448.0,526757.0,1192684.142857143,6375.142857142857,526279.0,1181051.0,6356.0
2021-02-22/2021-02-28,870.0,1939.7,1536.41,1612.167142857143,1911.65,11942493.0,2405366.0,8221440.0,44612.0,483002.0,1118468.0,6339.0,523283.0,1225665.0,6419.0,506406.28571428574,1174491.4285714286,6373.142857142857,505434.0,1163330.0,6377.0
2021-03-01/2021-03-07,1401.44,1693.7,1535.3,1531.86,1417.1,11987997.0,2339433.0,7983338.0,44668.0,445606.0,1104006.0,6291.0,512693.0,1172646.0,6438.0,481925.71428571426,1140476.857142857,6381.142857142857,485721.0,1127220.0,6380.0
2021-03-08/2021-03-14,1663.27,1942.37,1819.86,1801.8071428571432,1664.0,12033336.0,2497687.0,8467856.0,44703.0,478281.0,1154522.0,6330.0,542009.0,1255038.0,6438.0,520346.71428571426,1209693.7142857143,6386.142857142857,525418.0,1214801.0,6391.0
2021-03-15/2021-03-21,1712.6,1893.09,1814.56,1814.1799999999998,1876.5,12078833.0,2454877.0,8431835.0,44781.0,486576.0,1128958.0,6356.0,536770.0,1240511.0,6433.0,519665.71428571426,1204547.857142857,6397.285714285715,524883.0,1215753.0,6399.0
2021-03-22/2021-03-28,1546.91,1810.37,1665.15,1675.51,1800.06,12124271.0,2498920.0,8404267.0,44880.0,496744.0,1139629.0,6383.0,565593.0,1245420.0,6441.0,529296.5714285715,1200609.5714285714,6411.428571428572,532940.0,1214166.0,6404.0
2021-03-29/2021-04-04,1664.09,2143.99,1940.25,1911.2228571428573,1668.53,12169742.0,2600769.0,8610889.0,44890.0,515560.0,1139550.0,6365.0,598799.0,1287243.0,6460.0,550338.8571428572,1230127.0,6412.857142857143,544369.0,1226681.0,6419.0
2021-04-05/2021-04-11,1937.28,2194.68,2069.34,2069.907142857143,2061.67,12215327.0,2671902.0,8546644.0,45059.0,532397.0,1187115.0,6382.0,583143.0,1254561.0,6511.0,548007.5714285715,1220949.142857143,6437.0,540640.0,1217385.0,6434.0
2021-04-12/2021-04-18,1976.71,2548.39,2369.99,2329.8385714285714,2141.68,12260712.0,2932270.0,8986622.0,44941.0,521155.0,1128083.0,6381.0,640528.0,1375029.0,6460.0,589834.1428571428,1283803.142857143,6420.142857142857,600730.0,1301038.0,6412.0
2021-04-19/2021-04-25,2055.36,2643.3,2309.4,2311.2314285714283,2229.05,12306079.0,3388999.0,9895761.0,44949.0,651150.0,1321488.0,6347.0,705120.0,1488767.0,6521.0,679691.4285714285,1413680.142857143,6421.285714285715,684137.0,1444157.0,6431.0
2021-04-26/2021-05-02,2180.0,2976.97,2709.0,2635.3685714285716,2209.0,12351434.0,3326143.0,9670248.0,44835.0,625688.0,1351568.0,6377.0,675964.0,1440126.0,6430.0,651828.5714285715,1381464.0,6405.0,651271.0,1366772.0,6407.0
2021-05-03/2021-05-09,2936.4,3980.33,3464.45,3421.5342857142855,2969.0,12396780.0,3559078.0,10368945.0,44947.0,674760.0,1402949.0,6397.0,799562.0,1626278.0,6444.0,713909.8571428572,1481277.857142857,6421.0,694372.0,1432721.0,6433.0
2021-05-10/2021-05-16,3345.04,4372.35,3911.64,3932.475714285714,3911.64,12442150.0,3493513.0,10394490.0,44910.0,665471.0,1360867.0,6373.0,784465.0,1598969.0,6474.0,733047.0,1484927.142857143,6415.714285714285,732819.0,1493913.0,6409.0
2021-05-17/2021-05-23,1737.28,3589.0,2767.6,2880.594285714286,3373.74,12487248.0,2995149.0,9101094.0,44631.0,520591.0,1176212.0,6350.0,659939.0,1369701.0,6408.0,606014.7142857143,1300156.2857142857,6375.857142857143,618972.0,1347550.0,6384.0
2021-05-24/2021-05-30,2050.61,2910.0,2559.85,2493.657142857143,2068.01,12532379.0,2905411.0,8598538.0,44611.0,542988.0,1211261.0,6335.0,594644.0,1241553.0,6414.0,570505.4285714285,1228362.5714285714,6373.0,574429.0,1231283.0,6376.0
2021-05-31/2021-06-06,2278.03,2887.0,2630.54,2641.2628571428572,2433.04,12577560.0,2892238.0,8328521.0,44837.0,533711.0,1080415.0,6334.0,598051.0,1250699.0,6486.0,566958.2857142857,1189788.7142857143,6405.285714285715,571630.0,1213305.0,6417.0
2021-06-07/2021-06-13,2267.1,2846.38,2538.25,2531.048571428571,2709.96,12622785.0,2512183.0,7800270.0,44755.0,476648.0,1064622.0,6367.0,528785.0,1153860.0,6416.0,498113.5714285714,1114324.2857142857,6393.571428571428,496245.0,1123629.0,6394.0
2021-06-14/2021-06-20,2047.02,2639.23,2400.17,2400.0257142857145,2577.09,12667896.0,2371102.0,7596043.0,44704.0,429726.0,984519.0,6335.0,508475.0,1151348.0,6449.0,476543.0,1085149.0,6386.285714285715,487298.0,1112572.0,6383.0
2021-06-21/2021-06-27,1701.1,2275.73,1932.09,1959.5600000000002,2259.33,12712734.0,2547207.0,7839851.0,44355.0,480439.0,1045735.0,6256.0,525744.0,1201965.0,6377.0,504642.28571428574,1119978.7142857143,6336.428571428572,510623.0,1126194.0,6353.0
